I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-14,14,29,0,-21,21,-19,-107,-117,-131,-92,-87
-14,14,29,0,-21,21,-19,-107,-117,-131,-92,-87
-24,0,24,12,-24,12,-19,-102,-107,-122,-87,-87
-24,-4,19,14,-21,7,-19,-102,-107,-126,-87,-87
-24,-4,19,14,-21,7,-19,-102,-112,-131,-87,-82
-24,0,24,12,-24,12,-24,-107,-117,-131,-92,-82
-14,9,24,2,-19,17,-14,-107,-117,-131,-92,-78
-19,9,29,4,-24,19,-14,-102,-117,-131,-92,-78
-19,9,29,4,-24,19,-14,-102,-117,-131,-92,-78
-19,4,24,7,-21,14,-14,-102,-117,-126,-92,-78
